,blockNumber,address,gasPrice,meanGasPriceLastTenBlocks,stdGasPriceLastTenBlocks,meanGasPriceLastTenBlocksSameEOA,stdGasPriceLastTenBlocksSameEOA,usedGasToken,predictedGasPrice
0,10706133,0x900Fee6b2D84f7C63A8ABC57076c0270faf2534C,1.2111e-07,1.2840844539561316e-07,4.296065737303736e-08,1.2111e-07,0.0,False,4.0486857828434514e-08
1,10948108,0x17ab75b3BD6B9872Fe8d021d6d72bab32f91aAEf,5.6000000088e-08,6.329150588778234e-08,6.641894913459866e-08,5.6000000088e-08,0.0,False,4.0486855969283294e-08
2,10870283,0x4fCc2FF6c75923D33B4F5aF4C524461014B2EE1C,3.50000000007e-07,1.5094653702812562e-07,8.020844446452859e-08,2.4216667189133335e-07,8.162805259718298e-08,False,4.048685803500688e-08
3,10755335,0x86254Cb5A96C161E503d3255d67Fdddec056FEfe,1.04000000008e-07,9.175358782980833e-08,4.072036724167412e-08,1.0466666667466668e-07,9.428090415820593e-10,False,4.048685762186216e-08
4,9479527,0xa62788B78738160f931Ac5a5bf61D0b3A7c2E1d3,8.960111111e-09,8.745946059973103e-09,1.046035869420953e-08,8.480055555e-09,4.800555559999996e-10,False,4.0486855142993866e-08
5,11071268,0xa21caEbD27a296678176aC886735bfd18F875B8f,9.0400066747e-08,3.496556399204438e-08,2.199362123003432e-08,2.4096201617875e-07,3.232420100036009e-07,False,4.0486856382428015e-08
6,11114720,0x6CE2BdCcE7b264CeEDD4562fdCfdC800dEBEDc9b,1.56456e-07,4.1298754583983046e-08,2.9763130573186618e-08,1.382279999995e-07,1.822800000050001e-08,False,4.048685555613858e-08
7,11197339,0x261dCF783dBa9245018A43F06529EdBa11459E52,4.6000000001e-08,5.051709410011935e-08,2.3450645222669734e-08,4.60000000005e-08,4.999975930747508e-19,False,4.0486855969283294e-08
8,11142525,0xdD07249e403979Bd79848c27aa5454C7E66BdEe7,2.558045124981e-06,4.772539985115241e-08,1.0577440313283065e-07,7.178030007379999e-07,1.0643646836317388e-06,False,4.0486855969283294e-08
9,11237892,0x4F69c5B694D5A14a0a595703175c478Ec6B2a2Fe,1.26999999999e-07,5.075471955533737e-08,2.959131361709608e-08,6.044260110765999e-07,9.107094405334189e-07,False,4.048685555613858e-08
10,11014237,0x86254Cb5A96C161E503d3255d67Fdddec056FEfe,5.10131484379e-07,5.4374778464005037e-08,6.405753725974176e-08,3.753492368355e-07,1.3478224754349998e-07,False,4.048685555613858e-08
11,11054154,0x3f164D991502E930043292FaC5E62E313018125a,8.4999999999e-08,9.246282450614488e-08,9.183921891825597e-08,1.5462111039800002e-07,1.2174268553455373e-07,False,4.048685679557273e-08
12,11101810,0x86254Cb5A96C161E503d3255d67Fdddec056FEfe,1.18780382725e-07,4.7797514927650777e-08,4.1408792355129426e-08,1.47040003488e-07,1.2837761143562503e-07,False,4.048685555613858e-08
