,blockNumber,address,gasPrice,meanGasPriceLastTenBlocks,stdGasPriceLastTenBlocks,meanGasPriceLastTenBlocksSameEOA,stdGasPriceLastTenBlocksSameEOA,usedGasToken,predictedGasPrice
0,10572414,0x5D04C4e6D9F3f369355628fc55b15B303C38Bc14,6.1077309999e-08,7.325119273842148e-08,2.943625767321121e-08,5.985336028e-08,1.2239497189999983e-09,False,4.0486855969283294e-08
1,11010417,0x464587Ee0CC5185686b29Af7856b1D13647E93bE,9.5e-08,6.140323870340743e-08,1.3571835321695868e-07,7.885e-08,1.6150000000000002e-08,False,4.048685720871744e-08
2,10994091,0xdB9c8428e68a1E6B2244C92127D2dcD708F893f4,6.5e-08,8.179895507060123e-08,2.725176988513098e-07,6.45e-08,4.999999999999979e-10,False,4.0486856382428015e-08
3,11047253,0x96F560D61c7247f8CB0a77cD2c0F9275Aee5c7b5,1.533e-06,6.635238897273182e-08,1.308192299103828e-07,1.0219999999995e-06,9.495627941325983e-07,False,4.048685865472395e-08
4,7637463,0xE185E2Ab092e8a046cbb815174D9D6aAe1C91d9a,2.3000000002e-08,1.4264366141477836e-08,1.4038347944160294e-08,2.3000000000500002e-08,1.5000010509984472e-18,False,4.0486855142993866e-08
5,11044859,0x90dB3402079A5C2619cCf9340351feAc2899A39A,8e-08,6.365029862256525e-08,7.670489681607703e-08,8e-08,0.0,False,4.048685658900037e-08
6,10932637,0x6255AcE9543d373A6bd49d5cE888591260Cc553b,1.47952608423e-07,1.3925450976773084e-07,3.334062827204501e-08,1.36976304211e-07,1.0976304212000008e-08,False,4.048685803500688e-08
7,11026371,0xFcC34C4810635dB1A8A644323735da19b58A90Cd,4.8000000001e-08,4.720993267230104e-08,2.2791698899489783e-08,4.8e-08,1.0000018035725066e-18,False,4.048685576271094e-08
8,11048104,0x7d3B97857B3200694dc161729605af6880Db9cD5,1.2726e-07,1.2743785295856987e-07,4.963911440624117e-07,1.1413e-07,1.3129999999999993e-08,False,4.048685720871744e-08
9,11178064,0x58275e42f0DDB2Ea342a1C57f4966928A66a4289,7.5e-08,6.866937017168301e-08,2.717931779718459e-08,8.299999999999999e-08,6.164414002968977e-09,False,4.0486856382428015e-08
10,10616058,0x0B977A1eCAc9Ed3683f526406cD78d44f158320D,5.5000000002e-08,5.265568419988831e-08,1.645640497305655e-08,5.10000000005e-08,2.8284271247461906e-09,False,4.0486855969283294e-08
11,10684586,0xaaa2e80AB7D7b3C216af30Fc8165E7823e74cc62,1.64600000233e-07,1.7677347474263732e-07,3.783141830120061e-08,1.6167500078725e-07,1.7100800254996692e-09,False,4.0486858861296305e-08
12,11028389,0xdC18AC54733697E00744E9980708A87783B4399F,1.5999829856e-07,7.375337025405021e-08,4.2396641499514216e-08,1.299991492795e-07,2.99991492795e-08,False,4.048685844815159e-08
13,10953776,0x4839771c5DfAdCE9D80d59dCE9218E231e2eB450,1.41250000001e-07,1.8894248737121602e-07,1.1678200773826488e-06,1.33125e-07,8.125000001000003e-09,False,4.048685803500688e-08
14,11136027,0x90dB3402079A5C2619cCf9340351feAc2899A39A,5e-08,3.572874272556832e-08,5.8907814525434516e-08,3.9000000780499997e-08,1.09999992195e-08,False,4.0486855969283294e-08
15,11248955,0x001182890A094820eb9d4401693Ba0B9554F0f66,6.5e-08,5.535166039856372e-08,3.700987253532427e-08,5.969921875025e-08,1.8306577590259873e-08,False,4.0486855969283294e-08
16,10953674,0x58275e42f0DDB2Ea342a1C57f4966928A66a4289,1.12e-07,1.136206059632523e-07,9.127347367636243e-08,1.0649999999949999e-07,5.499999999999996e-09,False,4.048685762186216e-08
17,10951357,0xb27179Fb6d0412F0EC9873Baf26DAe3457c5494a,1.33e-07,1.247084269702697e-07,2.9701292670562476e-08,1.23150000116e-07,9.849999883500007e-09,False,4.048685803500688e-08
18,9611347,0xB478397d381Ec57500F785815ce480647eDBC649,7.3920111111e-08,1.3150987739413375e-08,9.666373120063875e-09,6.9960055555e-08,3.960055556000002e-09,False,4.048685493642151e-08
19,11169366,0x8517a89b9c47A5631098b37587560262494f5C43,2e-08,2.4554172046631425e-08,6.125554950572305e-08,2e-08,0.0,False,4.0486855142993866e-08
20,11080254,0xdB9c8428e68a1E6B2244C92127D2dcD708F893f4,3.3000000233e-08,4.893586533888977e-08,1.131725433572225e-07,3.3000000233e-08,0.0,False,4.048685555613858e-08
21,10925784,0xD11B92824332F966FD7cE0ED79Cb70136C5858F7,9.9e-08,1.052892329493454e-07,7.259592661770688e-08,9.4333333333e-08,3.299831645772923e-09,False,4.048685720871744e-08
22,10997995,0x2BaC8588694c8A5880C1C6fc7b74d90A70a9Da8A,1e-07,5.935128628610414e-08,5.443410905905634e-08,7.599999999999999e-08,2.3999999999999997e-08,False,4.048685720871744e-08
23,10356189,0x0Ea09d7d36d781E2A280a50d50A67A4D5e67c6C1,3.6e-08,2.941236154185479e-08,1.007357458685877e-08,1.0174999999950001e-07,1.1461757064255025e-07,False,4.048685555613858e-08
24,10762303,0xe4Ec5Ba53cAEcFE979570d5396d1d2dc5e6c3BD5,2.46e-07,2.400740077116601e-07,1.220686810918718e-06,2.307499999995e-07,5.8742552719917186e-08,False,4.048685906786866e-08
25,10644781,0xaaa2e80AB7D7b3C216af30Fc8165E7823e74cc62,1.351e-07,1.8548985740902193e-07,6.582796012520084e-08,1.7038333333283333e-07,2.4997827683399583e-08,False,4.048685803500688e-08
26,10691462,0x091d84a8125354FCC1bE9C6Ac284Ff9C62a9cA38,1.56e-07,1.6521097746407625e-07,4.020987664359598e-07,1.566500006785e-07,6.500006790000029e-10,False,4.048685844815159e-08
27,11078682,0xa8EED2874425245f26C8DD5077654A24c04eCf73,2.6000000001e-08,2.62721626534114e-08,2.677948333038846e-08,2.6e-08,1.00000014921265e-18,False,4.048685534956622e-08
28,10990450,0xdB9c8428e68a1E6B2244C92127D2dcD708F893f4,9e-08,9.857417237769879e-08,4.834592309192741e-08,9.075000039025001e-08,2.586020749554316e-09,False,4.0486857002145086e-08
29,11069975,0xF4C3a6CA3d71fb34AF2721590D54f6b3d1ae47Bb,3.035025e-07,4.225567526079274e-08,4.0589687050150125e-08,1.8275124999949999e-07,1.2075125000050001e-07,False,4.0486856382428015e-08
30,10875315,0xED7cFbB8CACA87cE8EA6b4BF33288379C70b5210,9.1946083837e-08,9.282666709353094e-08,4.449759183040086e-08,8.997304191800001e-08,1.973041919e-09,False,4.048685679557273e-08
31,10911828,0x96F560D61c7247f8CB0a77cD2c0F9275Aee5c7b5,2.10000000001e-07,2.189171998023401e-07,6.863864550125164e-08,2.1e-07,1.0000018035725066e-18,False,4.0486859481013376e-08
32,10325948,0xaaa2e80AB7D7b3C216af30Fc8165E7823e74cc62,3.6000000001e-08,3.7530259955855246e-08,1.2459998885232955e-08,3.842e-08,2.9775157430314274e-09,False,4.048685576271094e-08
33,11214533,0xb5c2D8D414Ef99b34303496cFA667fC15E71b71A,1.7000000001e-08,2.4390550564717685e-08,2.8867761943357333e-08,1.7e-08,9.999984948500564e-19,False,4.048685555613858e-08
34,7505260,0xE185E2Ab092e8a046cbb815174D9D6aAe1C91d9a,2.0000000001e-08,1.2546372121103943e-08,1.3640461268410945e-08,2.00000000005e-08,4.999992474277652e-19,False,4.0486855142993866e-08
35,10842981,0x25b2A252C07A1e930a0bc87Cf250ca6DF007eA84,1.8307e-05,1.280886795640843e-07,7.772808460337695e-07,8.53373124999925e-06,8.496399542111489e-06,False,4.048685679557273e-08
36,10913216,0x464587Ee0CC5185686b29Af7856b1D13647E93bE,3e-07,2.747207464162308e-07,4.926472762850247e-07,2.83e-07,1.699999999999998e-08,False,4.048686154673696e-08
37,5705203,0xff49432a1Ea8ac6d12285099ba426d1F16f23c8d,1.374e-08,1.7431491941400613e-08,1.5784894405353322e-08,1.3823333333333333e-08,1.040299102288485e-10,False,4.0486855142993866e-08
38,9076407,0xE185E2Ab092e8a046cbb815174D9D6aAe1C91d9a,6.90000002e-09,1.3328562040908663e-08,1.0998656696436183e-08,6.9000000094999995e-09,1.0500000325947545e-17,False,4.048685472984915e-08
39,10756639,0x971540810bf4a1D9cAc9f04fB713B2EEBb95fEd7,1.09000000002e-07,1.2953316049617813e-07,1.2789505551106576e-07,1.295000000005e-07,2.0499999999999998e-08,False,4.048685762186216e-08
40,11145251,0xD11B92824332F966FD7cE0ED79Cb70136C5858F7,1.141e-07,1.0850568326726973e-07,2.9860874599181666e-07,1.140999999995e-07,5.000009017862533e-19,False,4.048685762186216e-08
41,10913934,0xb27179Fb6d0412F0EC9873Baf26DAe3457c5494a,3.3e-07,1.598901035780113e-07,1.8129752853639523e-07,2.397499999995e-07,9.033375614907198e-08,False,4.048685762186216e-08
